    iterations,fitness,time,samples,keep,m,trial
2190,0.0432007146153,1276.04675508,100,50,0.1,1
2200,0.0420896998017,1280.92381345,100,50,0.1,1
2210,0.0422841892795,1286.16167132,100,50,0.1,1
2220,0.0428094676944,1291.16926116,100,50,0.1,1
2230,0.042743821147,1296.23523043,100,50,0.1,1
2240,0.0429363773559,1301.22373335,100,50,0.1,1
2250,0.0430604143214,1306.23890045,100,50,0.1,1
2260,0.0425078640623,1311.17115531,100,50,0.1,1
2270,0.0429089892831,1315.59783594,100,50,0.1,1
2280,0.0432216509546,1320.10441851,100,50,0.1,1
2290,0.0437058185333,1324.60217052,100,50,0.1,1
2300,0.0435523213741,1329.05207015,100,50,0.1,1
2310,0.0411490773393,1333.61999107,100,50,0.1,1
2320,0.0421138531779,1338.19906583,100,50,0.1,1
2330,0.043072834017,1342.55491551,100,50,0.1,1
2340,0.044520748148,1347.26915939,100,50,0.1,1
2350,0.0416335703715,1351.76151822,100,50,0.1,1
2360,0.0432254789741,1356.35908394,100,50,0.1,1
2370,0.043256174043,1360.69977082,100,50,0.1,1
2380,0.04354285092,1365.25104455,100,50,0.1,1
2390,0.0423196967793,1369.84843448,100,50,0.1,1
2400,0.0433306751628,1374.30213034,100,50,0.1,1
2410,0.0432120281828,1378.84777611,100,50,0.1,1
2420,0.0428071535888,1383.41930604,100,50,0.1,1
2430,0.0420302305513,1387.95855024,100,50,0.1,1
2440,0.0420189753977,1392.48594334,100,50,0.1,1
2450,0.0434934553595,1397.14135166,100,50,0.1,1
2460,0.0432982887319,1401.68324188,100,50,0.1,1
2470,0.0425555862534,1406.3170306,100,50,0.1,1
2480,0.0457709282466,1410.83997573,100,50,0.1,1
2490,0.0444879432565,1415.33020784,100,50,0.1,1
2500,0.0424229786216,1419.95039675,100,50,0.1,1
2510,0.0425657308766,1424.52481621,100,50,0.1,1
2520,0.0424926217291,1429.16211541,100,50,0.1,1
2530,0.0418415863663,1433.82751334,100,50,0.1,1
2540,0.0438363190708,1438.3045439,100,50,0.1,1
2550,0.0438213109888,1442.91123429,100,50,0.1,1
2560,0.0438899489041,1447.38500419,100,50,0.1,1
2570,0.0452277058399,1451.89402206,100,50,0.1,1
2580,0.0424298238518,1456.46511737,100,50,0.1,1
2590,0.0427827844029,1461.04509868,100,50,0.1,1
