iterations,fitness,time,samples,keep,m,trial
1960,53.0,61.495774612,100,50,0.1,1
1970,53.0,61.846278045,100,50,0.1,1
1980,53.0,62.201605071,100,50,0.1,1
1990,58.0,62.555840868,100,50,0.1,1
2000,53.0,63.188534494,100,50,0.1,1
2010,58.0,63.88539222,100,50,0.1,1
2020,59.0,64.155952121,100,50,0.1,1
2030,53.0,64.441804878,100,50,0.1,1
2040,53.0,64.800214926,100,50,0.1,1
2050,53.0,65.084026759,100,50,0.1,1
2060,54.0,65.404162799,100,50,0.1,1
2070,58.0,65.711486371,100,50,0.1,1
2080,58.0,66.128884567,100,50,0.1,1
2090,58.0,66.317867253,100,50,0.1,1
2100,53.0,66.67290267,100,50,0.1,1
2110,53.0,66.961941477,100,50,0.1,1
2120,53.0,67.28359489,100,50,0.1,1
2130,58.0,67.453155431,100,50,0.1,1
2140,58.0,67.679140604,100,50,0.1,1
2150,54.0,67.868122619,100,50,0.1,1
2160,53.0,68.038606777,100,50,0.1,1
2170,53.0,68.241443686,100,50,0.1,1
2180,58.0,68.468229469,100,50,0.1,1
2190,53.0,68.774792338,100,50,0.1,1
2200,54.0,69.000394887,100,50,0.1,1
2210,53.0,69.202096208,100,50,0.1,1
2220,58.0,69.598733659,100,50,0.1,1
2230,53.0,69.877131357,100,50,0.1,1
2240,53.0,70.300686736,100,50,0.1,1
2250,53.0,70.88068942,100,50,0.1,1
2260,53.0,71.266881308,100,50,0.1,1
2270,54.0,71.578849851,100,50,0.1,1
2280,53.0,71.829948325,100,50,0.1,1
2290,58.0,72.269301753,100,50,0.1,1
2300,54.0,72.560173413,100,50,0.1,1
2310,58.0,72.758771782,100,50,0.1,1
2320,53.0,73.001310645,100,50,0.1,1
2330,54.0,73.367353865,100,50,0.1,1
2340,53.0,73.640858942,100,50,0.1,1
2350,53.0,73.818521595,100,50,0.1,1
2360,53.0,73.988028916,100,50,0.1,1
2370,58.0,74.433096711,100,50,0.1,1
2380,53.0,74.63187093,100,50,0.1,1
2390,54.0,74.809226156,100,50,0.1,1
2400,59.0,75.022515928,100,50,0.1,1
2410,53.0,75.253165314,100,50,0.1,1
2420,55.0,75.433017483,100,50,0.1,1
2430,53.0,76.022123867,100,50,0.1,1
2440,53.0,76.537934542,100,50,0.1,1
2450,54.0,77.063296943,100,50,0.1,1
2460,53.0,77.411939479,100,50,0.1,1
2470,58.0,77.723087945,100,50,0.1,1
2480,53.0,78.091252035,100,50,0.1,1
2490,54.0,78.493979679,100,50,0.1,1
2500,53.0,78.903278995,100,50,0.1,1
2510,58.0,79.360947225,100,50,0.1,1
2520,54.0,79.789099732,100,50,0.1,1
2530,54.0,80.362260511,100,50,0.1,1
2540,53.0,81.037728773,100,50,0.1,1
2550,53.0,81.644761266,100,50,0.1,1
2560,53.0,82.183505776,100,50,0.1,1
2570,58.0,82.705265909,100,50,0.1,1
2580,53.0,83.069219759,100,50,0.1,1
2590,53.0,83.358532275,100,50,0.1,1
2600,54.0,83.564596835,100,50,0.1,1
2610,53.0,83.742275421,100,50,0.1,1
2620,53.0,83.942784968,100,50,0.1,1
2630,58.0,84.119871912,100,50,0.1,1
2640,54.0,84.292248786,100,50,0.1,1
2650,53.0,84.572661583,100,50,0.1,1
2660,58.0,84.888309777,100,50,0.1,1
2670,53.0,85.09629081,100,50,0.1,1
2680,53.0,85.295559433,100,50,0.1,1
2690,53.0,85.489446515,100,50,0.1,1
2700,58.0,85.918857813,100,50,0.1,1
2710,53.0,86.273278915,100,50,0.1,1
2720,58.0,86.580885304,100,50,0.1,1
2730,53.0,87.125150556,100,50,0.1,1
2740,53.0,87.62305422,100,50,0.1,1
2750,53.0,88.235775826,100,50,0.1,1
2760,53.0,88.678862545,100,50,0.1,1
2770,53.0,89.039898273,100,50,0.1,1
2780,58.0,89.274555442,100,50,0.1,1
2790,53.0,89.477741662,100,50,0.1,1
2800,53.0,89.991018064,100,50,0.1,1
2810,58.0,90.220666543,100,50,0.1,1
2820,53.0,90.68154968,100,50,0.1,1
2830,53.0,90.945259464,100,50,0.1,1
2840,53.0,91.151663824,100,50,0.1,1
2850,53.0,91.480960226,100,50,0.1,1
2860,53.0,91.791451495,100,50,0.1,1
2870,53.0,92.020910142,100,50,0.1,1
2880,53.0,92.212233743,100,50,0.1,1
2890,53.0,92.410580263,100,50,0.1,1
2900,53.0,92.64568958,100,50,0.1,1
2910,53.0,92.811999314,100,50,0.1,1
2920,53.0,93.001402843,100,50,0.1,1
2930,53.0,93.174734373,100,50,0.1,1
2940,54.0,93.342423359,100,50,0.1,1
2950,53.0,93.540070966,100,50,0.1,1
2960,55.0,93.800258879,100,50,0.1,1
2970,53.0,93.97532249,100,50,0.1,1
2980,58.0,94.142212222,100,50,0.1,1
2990,54.0,94.330261598,100,50,0.1,1
3000,54.0,94.531196219,100,50,0.1,1
3010,53.0,94.693803596,100,50,0.1,1
3020,58.0,94.865736621,100,50,0.1,1
3030,58.0,95.035975106,100,50,0.1,1
3040,53.0,95.259834416,100,50,0.1,1
3050,57.0,95.511760098,100,50,0.1,1
3060,58.0,95.741103079,100,50,0.1,1
3070,58.0,96.153836659,100,50,0.1,1
3080,58.0,96.702842361,100,50,0.1,1
3090,53.0,96.947569124,100,50,0.1,1
3100,58.0,97.823586029,100,50,0.1,1
3110,54.0,98.222848802,100,50,0.1,1
3120,58.0,99.004661422,100,50,0.1,1
3130,53.0,99.627259991,100,50,0.1,1
3140,53.0,100.045869451,100,50,0.1,1
3150,54.0,100.256805858,100,50,0.1,1
3160,53.0,100.571241251,100,50,0.1,1
3170,53.0,100.940336118,100,50,0.1,1
