iterations,fitness,time,samples,keep,m,trial
2820,776.0,4360.75188892,100,50,0.1,1
2830,778.0,4376.15251509,100,50,0.1,1
2840,778.0,4390.86393498,100,50,0.1,1
2850,778.0,4406.21983965,100,50,0.1,1
2860,778.0,4421.40906241,100,50,0.1,1
2870,778.0,4437.24302174,100,50,0.1,1
2880,778.0,4452.09468542,100,50,0.1,1
2890,780.0,4466.89773853,100,50,0.1,1
2900,780.0,4481.62522532,100,50,0.1,1
2910,778.0,4496.71749119,100,50,0.1,1
2920,778.0,4511.56051044,100,50,0.1,1
2930,780.0,4526.34799389,100,50,0.1,1
2940,780.0,4541.87323729,100,50,0.1,1
2950,782.0,4556.86260519,100,50,0.1,1
2960,778.0,4571.51394043,100,50,0.1,1
2970,780.0,4586.36706525,100,50,0.1,1
2980,778.0,4601.47067337,100,50,0.1,1
2990,780.0,4616.46222178,100,50,0.1,1
3000,780.0,4631.34255516,100,50,0.1,1
0,552.0,22.149049172,100,50,0.3,1
10,594.0,44.231152227,100,50,0.3,1
20,655.0,64.260728259,100,50,0.3,1
30,707.0,82.721274403,100,50,0.3,1
40,731.0,102.314486132,100,50,0.3,1
50,749.0,119.072572296,100,50,0.3,1
60,755.0,135.493460012,100,50,0.3,1
70,763.0,152.15689814,100,50,0.3,1
80,761.0,168.281199141,100,50,0.3,1
90,762.0,184.275899531,100,50,0.3,1
100,763.0,199.638955088,100,50,0.3,1
110,762.0,215.673726336,100,50,0.3,1
120,761.0,230.761798115,100,50,0.3,1
130,763.0,246.057417443,100,50,0.3,1
140,763.0,261.621682168,100,50,0.3,1
150,763.0,277.048405926,100,50,0.3,1
160,761.0,292.40028892,100,50,0.3,1
170,763.0,307.785995751,100,50,0.3,1
180,763.0,323.055604352,100,50,0.3,1
190,761.0,338.390993498,100,50,0.3,1
200,763.0,353.790540362,100,50,0.3,1
210,763.0,369.450779834,100,50,0.3,1
220,763.0,384.720415431,100,50,0.3,1
230,763.0,400.534953256,100,50,0.3,1
240,763.0,415.645095587,100,50,0.3,1
250,763.0,431.45735572,100,50,0.3,1
260,761.0,447.383990614,100,50,0.3,1
270,763.0,462.68767515,100,50,0.3,1
280,763.0,478.018473997,100,50,0.3,1
290,763.0,494.050118442,100,50,0.3,1
300,765.0,509.68418359,100,50,0.3,1
310,763.0,524.690430742,100,50,0.3,1
320,763.0,539.944919909,100,50,0.3,1
